id,word,weight
1320,abierto,69.88
1321,debate,69.85
1322,barrio,69.84
1323,labor,69.84
1324,fondos,69.8
1325,justo,69.71
1326,tradición,69.69
1327,diferente,69.66
1328,piensa,69.63
1329,tecnología,69.61
1330,mantiene,69.54
1331,situaciones,69.46
1332,fase,69.43
1333,histórico,69.42
1334,agentes,69.42
1335,planta,69.4
1336,venezuela,69.34
1337,f,69.29
1338,actuación,69.26
1339,iban,69.19
1340,actos,69.13
1341,posibles,69.12
1342,león,69.09
1343,mamá,68.99
1344,velocidad,68.95
1345,familiares,68.85
1346,especies,68.81
1347,cabe,68.76
1348,asamblea,68.71
1349,comunidades,68.55
1350,museo,68.49
1351,conferencia,68.44
1352,prácticamente,68.41
1353,autoridad,68.4
1354,sujeto,68.37
1355,alfonso,68.36
1356,tratar,68.34
1357,hacerse,68.28
1358,pérdida,68.27
1359,dificultades,68.24
1360,rato,68.23
1361,pagar,68.21
1362,colegio,68.14
1363,sabes,68.11
1364,l,68.05
1365,personaje,68.03
1366,áreas,67.92
1367,audiencia,67.91
1368,doce,67.87
1369,haga,67.85
1370,periódico,67.84
1371,v,67.84
1372,distribución,67.79
1373,ausencia,67.79
1374,entrevista,67.6
1375,recibió,67.57
1376,añadió,67.56
1377,cocina,67.56
1378,edición,67.52
1379,económicos,67.45
1380,naturales,67.43
1381,parecer,67.42
1382,santo,67.41
1383,vieja,67.39
1384,mario,67.19
1385,corresponde,67.18
1386,decidió,67.14
1387,perú,67.14
1388,llegada,67.05
1389,comienza,67.01
1390,organizaciones,66.97
1391,tendencia,66.85
1392,escenario,66.78
1393,definitiva,66.77
1394,deberá,66.68
1395,indicó,66.68
1396,noticia,66.68
1397,inglés,66.57
